M,N,K,ProcessNum,ParallelTime,GFLOPS
250,250,250,4,0.0010476666666666666,29.828189627744194
250,250,250,8,0.0006216666666666667,50.2680965147453
250,250,250,12,0.00036366666666666665,85.93033913840515
250,250,250,16,0.0005093333333333333,61.354712041884824
250,250,250,20,0.0004116666666666667,75.91093117408907
500,500,500,4,0.004550666666666667,54.93700556694989
500,500,500,8,0.002728333333333333,91.63103237629812
500,500,500,12,0.0021223333333333333,117.79487984922255
500,500,500,16,0.0017773333333333332,140.6601650412603
500,500,500,20,0.0023283333333333333,107.37294201861133
750,750,750,4,0.015887,53.10946056524203
750,750,750,8,0.009027,93.46959122632103
750,750,750,12,0.006074666666666667,138.89651009657598
750,750,750,16,0.004968,169.83695652173915
750,750,750,20,0.004274666666666667,197.3838116032439
1000,1000,1000,4,0.033544,59.62318149296448
1000,1000,1000,8,0.019455333333333335,102.79957509508961
1000,1000,1000,12,0.015572333333333334,128.4329045101355
1000,1000,1000,16,0.011042666666666668,181.11567254286402
1000,1000,1000,20,0.009520666666666667,210.06932287654928
1250,1250,1250,4,0.068732,56.833061747075604
1250,1250,1250,8,0.039057666666666664,100.01237486451657
1250,1250,1250,12,0.027635000000000003,141.35154695132982
1250,1250,1250,16,0.02064533333333333,189.20740764660297
1250,1250,1250,20,0.017998666666666666,217.02996518260613
1500,1500,1500,4,0.11744533333333333,57.473547976931115
1500,1500,1500,8,0.06675466666666667,101.11652618543523
1500,1500,1500,12,0.04400366666666666,153.39630788343396
1500,1500,1500,16,0.037698666666666665,179.05142533776615
1500,1500,1500,20,0.032542999999999996,207.41787788464498
1750,1750,1750,4,0.19366033333333332,55.34819555200601
1750,1750,1750,8,0.10964999999999998,97.75421796625629
1750,1750,1750,12,0.07794266666666667,137.52095557418272
1750,1750,1750,16,0.062324333333333336,171.983387975804
1750,1750,1750,20,0.053891,198.8968473400011
2000,2000,2000,4,0.2807596666666667,56.988242613195865
2000,2000,2000,8,0.1535696666666667,104.1872418381234
2000,2000,2000,12,0.11354266666666668,140.91619009594044
2000,2000,2000,16,0.08082766666666667,197.9520213788183
2000,2000,2000,20,0.069803,229.21650931908368
2250,2250,2250,4,0.4312936666666667,52.82073853777898
2250,2250,2250,8,0.24553166666666668,92.78334770124695
2250,2250,2250,12,0.156805,145.28395140461083
2250,2250,2250,16,0.126092,180.67165244424706
2250,2250,2250,20,0.104399,218.2132970622324
2500,2500,2500,4,0.580245,53.85656059078493
2500,2500,2500,8,0.3404643333333333,91.78641326110518
2500,2500,2500,12,0.219309,142.4930121426845
2500,2500,2500,16,0.168385,185.5866021320189
2500,2500,2500,20,0.141494,220.8574215161067
2750,2750,2750,4,0.7953083333333334,52.298898749960706
2750,2750,2750,8,0.47433166666666665,87.68916967382177
2750,2750,2750,12,0.29700966666666667,140.04173825992197
2750,2750,2750,16,0.23294,178.55992959560402
2750,2750,2750,20,0.19425133333333333,214.12336938056197
3000,3000,3000,4,0.9190526666666666,58.75615398174497
3000,3000,3000,8,0.5726926666666666,94.29141168212388
3000,3000,3000,12,0.358362,150.68561956903912
3000,3000,3000,16,0.290831,185.67484209042365
3000,3000,3000,20,0.244389,220.95920847501324
3250,3250,3250,4,1.2646833333333334,54.28730512249443
3250,3250,3250,8,0.761145,90.2012757096217
3250,3250,3250,12,0.49822533333333335,137.80160382584586
3250,3250,3250,16,0.36661133333333334,187.27257931651505
3250,3250,3250,20,0.3148823333333333,218.0377961291361
3500,3500,3500,4,1.5609606666666667,54.934119629749375
3500,3500,3500,8,0.9279556666666666,92.40743182055753
3500,3500,3500,12,0.650128,131.89710333965004
3500,3500,3500,16,0.46698900000000004,183.62316885408435
3500,3500,3500,20,0.393076,218.15119722394655
3750,3750,3750,4,1.9249703333333334,54.78980541864628
3750,3750,3750,8,1.112708,94.78564906516355
3750,3750,3750,12,0.7595236666666666,138.8617032341762
3750,3750,3750,16,0.592082,178.13199860830088
3750,3750,3750,20,0.4792066666666666,220.09032289478446
4000,4000,4000,4,2.296542,55.73597173489534
4000,4000,4000,8,1.30556,98.04221943074236
4000,4000,4000,12,0.933964,137.0502503308479
4000,4000,4000,16,0.6821213333333334,187.64990001778764
4000,4000,4000,20,0.5650893333333333,226.5128581439631
4250,4250,4250,4,2.8029023333333334,54.77581154867211
4250,4250,4250,8,1.5157246666666666,101.29230814567465
4250,4250,4250,12,1.0921266666666665,140.58007618163953
4250,4250,4250,16,0.8516400000000001,180.2771711051618
4250,4250,4250,20,0.7272103333333333,211.12358139392046
4500,4500,4500,4,3.3149123333333335,54.97882950549623
4500,4500,4500,8,1.8271453333333334,99.74576005265773
4500,4500,4500,12,1.228041,148.40709715717963
4500,4500,4500,16,0.9922599999999999,183.67161832584205
4500,4500,4500,20,0.8753000000000001,208.2143265166229
4750,4750,4750,4,3.973619,53.94169647366797
4750,4750,4750,8,2.1991143333333336,97.46821561346741
4750,4750,4750,12,1.5120060000000002,141.7611768736367
4750,4750,4750,16,1.1281323333333333,189.9987649203093
4750,4750,4750,20,0.988881,216.75383590138753
5000,5000,5000,4,4.307695666666667,58.03566903171046
5000,5000,5000,8,2.389984666666667,104.6031815545818
5000,5000,5000,12,1.7388756666666667,143.77106126238277
5000,5000,5000,16,1.3295066666666668,188.03967386398963
5000,5000,5000,20,1.1109566666666666,225.03127934782938
5250,5250,5250,4,5.217527666666666,55.468081530058015
5250,5250,5250,8,2.892384,100.0580317136314
5250,5250,5250,12,1.980156,146.15325762212674
5250,5250,5250,16,1.5330336666666666,188.78010071968416
