M,N,K,ProcessNum,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
250,250,250,4,0.0010476666666666666,0.002363,0.0,29.828189627744194,2.255488386891505
250,250,250,8,0.0006216666666666667,0.002666333333333333,0.0,50.2680965147453,4.289008042895442
250,250,250,12,0.00036366666666666665,0.0026980000000000003,0.0,85.93033913840515,7.418881759853346
250,250,250,16,0.0005093333333333333,0.004345333333333333,0.0,61.354712041884824,8.531413612565444
250,250,250,20,0.0004116666666666667,0.0027716666666666666,0.0,75.91093117408907,6.732793522267206
500,500,500,4,0.004550666666666667,0.017121666666666664,0.0,54.93700556694989,3.7624523879285077
500,500,500,8,0.002728333333333333,0.018753333333333334,0.0,91.63103237629812,6.87354917532071
500,500,500,12,0.0021223333333333333,0.019104333333333334,0.0,117.79487984922255,9.00157059839799
500,500,500,16,0.0017773333333333332,0.019532333333333332,0.0,140.6601650412603,10.989684921230307
500,500,500,20,0.0023283333333333333,0.020353333333333334,0.0,107.37294201861133,8.741589119541876
750,750,750,4,0.015887,0.05981466666666666,0.0,53.10946056524203,3.7650070288076205
750,750,750,8,0.009027,0.06739733333333332,0.0,93.46959122632103,7.466194010560908
750,750,750,12,0.006074666666666667,0.067351,0.0,138.89651009657598,11.087192712906058
750,750,750,16,0.004968,0.069839,0.0,169.83695652173915,14.057769726247987
750,750,750,20,0.004274666666666667,0.07367533333333333,0.0,197.3838116032439,17.235339987523393
1000,1000,1000,4,0.033544,0.13435166666666667,0.0,59.62318149296448,4.005236902774466
1000,1000,1000,8,0.019455333333333335,0.16053933333333334,0.0,102.79957509508961,8.25168762635781
1000,1000,1000,12,0.015572333333333334,0.15671,0.0,128.4329045101355,10.063360232891666
1000,1000,1000,16,0.011042666666666668,0.16205766666666666,0.0,181.11567254286402,14.675591644530304
1000,1000,1000,20,0.009520666666666667,0.154709,0.0,210.06932287654928,16.24980743645403
1250,1250,1250,4,0.068732,0.27636,0.0,56.833061747075604,4.020834545771984
1250,1250,1250,8,0.039057666666666664,0.30111533333333335,0.0,100.01237486451657,7.7095064562655224
1250,1250,1250,12,0.027635000000000003,0.32002833333333336,0.0,141.35154695132982,11.58054399614016
1250,1250,1250,16,0.02064533333333333,0.32347366666666666,0.0,189.20740764660297,15.668125161456988
1250,1250,1250,20,0.017998666666666666,0.3507716666666667,0.0,217.02996518260613,19.488758426550117
1500,1500,1500,4,0.11744533333333333,0.45812866666666663,0.0,57.473547976931115,3.900782207892466
1500,1500,1500,8,0.06675466666666667,0.5153126666666666,0.0,101.11652618543523,7.719500259657251
1500,1500,1500,12,0.04400366666666666,0.530388,0.0,153.39630788343396,12.053268288248708
1500,1500,1500,16,0.037698666666666665,0.5270473333333333,0.0,179.05142533776615,13.980529815378086
1500,1500,1500,20,0.032542999999999996,0.569246,0.0,207.41787788464498,17.492118120640388
1750,1750,1750,4,0.19366033333333332,0.7866186666666666,0.0,55.34819555200601,4.061847117203488
1750,1750,1750,8,0.10964999999999998,0.8569576666666667,0.0,97.75421796625629,7.815391396868827
1750,1750,1750,12,0.07794266666666667,0.9046666666666666,0.0,137.52095557418272,11.606822108558426
1750,1750,1750,16,0.062324333333333336,0.8759773333333333,0.0,171.983387975804,14.055141651468393
1750,1750,1750,20,0.053891,0.9853856666666667,0.0,198.8968473400011,18.284790905098564
2000,2000,2000,4,0.2807596666666667,1.156631,0.0,56.988242613195865,4.119648002621458
2000,2000,2000,8,0.1535696666666667,1.193026,0.0,104.1872418381234,7.768630523823062
2000,2000,2000,12,0.11354266666666668,1.2818889999999998,0.0,140.91619009594044,11.289932125368434
2000,2000,2000,16,0.08082766666666667,1.2448213333333333,0.0,197.9520213788183,15.400931199300569
2000,2000,2000,20,0.069803,1.4303706666666667,0.0,229.21650931908368,20.491535702858997
2250,2250,2250,4,0.4312936666666667,1.6316896666666667,0.0,52.82073853777898,3.7832451361446684
2250,2250,2250,8,0.24553166666666668,1.807609,0.0,92.78334770124695,7.362019834508787
2250,2250,2250,12,0.156805,1.8704123333333333,0.0,145.28395140461083,11.928269719290414
2250,2250,2250,16,0.126092,1.9571473333333333,0.0,180.67165244424706,15.521582125220737
2250,2250,2250,20,0.104399,2.087832,0.0,218.2132970622324,19.99858236190002
2500,2500,2500,4,0.580245,2.1573446666666665,0.0,53.85656059078493,3.717989240177281
2500,2500,2500,8,0.3404643333333333,2.379852,0.0,91.78641326110518,6.990018533512567
2500,2500,2500,12,0.219309,2.4365656666666666,0.0,142.4930121426845,11.11019459605701
2500,2500,2500,16,0.168385,2.4777313333333333,0.0,185.5866021320189,14.71467965277984
2500,2500,2500,20,0.141494,2.641016666666667,0.0,220.8574215161067,18.665220197794017
2750,2750,2750,4,0.7953083333333334,2.9743626666666665,0.0,52.298898749960706,3.7398862076553114
2750,2750,2750,8,0.47433166666666665,3.2656766666666663,0.0,87.68916967382177,6.884795800406888
2750,2750,2750,12,0.29700966666666667,3.367452,0.0,140.04173825992197,11.337853201186494
2750,2750,2750,16,0.23294,3.5023809999999997,0.0,178.55992959560402,15.035549927019831
2750,2750,2750,20,0.19425133333333333,3.606670333333333,0.0,214.12336938056197,18.567029998936086
3000,3000,3000,4,0.9190526666666666,3.873293,0.0,58.75615398174497,4.2144407393410175
3000,3000,3000,8,0.5726926666666666,4.423149666666666,0.0,94.29141168212388,7.723426410209548
3000,3000,3000,12,0.358362,4.2737126666666665,0.0,150.68561956903912,11.925685945124389
3000,3000,3000,16,0.290831,4.650943000000001,0.0,185.67484209042365,15.991909390677062
3000,3000,3000,20,0.244389,4.827304666666667,0.0,220.95920847501324,19.752544781748224
3250,3250,3250,4,1.2646833333333334,4.944828666666667,0.0,54.28730512249443,3.909934239137597
3250,3250,3250,8,0.761145,5.3781506666666665,0.0,90.2012757096217,7.065868745990143
3250,3250,3250,12,0.49822533333333335,5.521664666666666,0.0,137.80160382584586,11.082665407084878
3250,3250,3250,16,0.36661133333333334,5.632528,0.0,187.27257931651505,15.363758530832834
3250,3250,3250,20,0.3148823333333333,5.962864,0.0,218.0377961291361,18.93680073085502
3500,3500,3500,4,1.5609606666666667,5.909908000000001,0.0,54.934119629749375,3.786071056242716
3500,3500,3500,8,0.9279556666666666,6.524595000000001,0.0,92.40743182055753,7.031149476609336
3500,3500,3500,12,0.650128,6.678279666666666,0.0,131.89710333965004,10.272253566477163
3500,3500,3500,16,0.46698900000000004,6.800312333333333,0.0,183.62316885408435,14.562039648328618
3500,3500,3500,20,0.393076,7.160845999999999,0.0,218.15119722394655,18.217459219082315
3750,3750,3750,4,1.9249703333333334,7.564224666666667,0.0,54.78980541864628,3.9295279182657534
3750,3750,3750,8,1.112708,8.221273333333334,0.0,94.78564906516355,7.388527208695663
3750,3750,3750,12,0.7595236666666666,8.561955,0.0,138.8617032341762,11.272795537202922
3750,3750,3750,16,0.592082,9.137460333333333,0.0,178.13199860830088,15.432761565684032
3750,3750,3750,20,0.4792066666666666,9.213616,0.0,220.09032289478446,19.226810979257387
4000,4000,4000,4,2.296542,9.350983333333334,0.0,55.73597173489534,4.071766740313625
4000,4000,4000,8,1.30556,10.398804,0.0,98.04221943074236,7.965014246760011
4000,4000,4000,12,0.933964,10.251891333333333,0.0,137.0502503308479,10.976752137484242
4000,4000,4000,16,0.6821213333333334,11.091254999999999,0.0,187.64990001778764,16.259944467357712
4000,4000,4000,20,0.5650893333333333,11.465422333333334,0.0,226.5128581439631,20.289574863679373
4250,4250,4250,4,2.8029023333333334,10.915127666666669,0.0,54.77581154867211,3.894223333028491
4250,4250,4250,8,1.5157246666666666,11.710262666666665,0.0,101.29230814567465,7.725850825149862
4250,4250,4250,12,1.0921266666666665,12.340628,0.0,140.58007618163953,11.29963068996881
