M,N,K,KernelVersion,ParallelTime,GFLOPS
7500,7500,7500,2,999.6330156666667,844.0597567071086
7500,7500,7500,3,390.66633133333335,2159.771478438658
7500,7500,7500,4,392.0246683333333,2152.288027146727
7750,7750,7750,0,12299.538086,75.69135877221917
7750,7750,7750,1,903.7220056666666,1030.1494753502586
7750,7750,7750,2,1103.6639813333334,843.5255347151035
7750,7750,7750,3,427.4633383333333,2177.8914505974226
7750,7750,7750,4,430.9329936666666,2160.356165998556
8000,8000,8000,0,13643.247721333333,75.05544287661193
8000,8000,8000,1,991.206665,1033.0842559457567
8000,8000,8000,2,1212.922648,844.2418003229502
8000,8000,8000,3,467.768331,2189.117843465123
8000,8000,8000,4,471.98699933333336,2169.55128307849
8250,8250,8250,0,14910.448893333334,75.3184064432911
8250,8250,8250,1,1088.7299803333333,1031.5057638590652
8250,8250,8250,2,1330.5336913333333,844.0457068581297
8250,8250,8250,3,522.698344,2148.5265122630653
8250,8250,8250,4,523.370992,2145.7651783651013
8500,8500,8500,0,16243.09375,75.61675250442977
8500,8500,8500,1,1192.6916913333334,1029.8134957466796
8500,8500,8500,2,1453.0100096666665,845.3142041889797
8500,8500,8500,3,564.9786783333333,2173.975845643048
8500,8500,8500,4,565.2146606666666,2173.06819067872
8750,8750,8750,0,17726.255859333334,75.58526519262315
8750,8750,8750,1,1302.8649903333333,1028.3826489628873
8750,8750,8750,2,1584.860351666667,845.4017722072464
8750,8750,8750,3,617.6276856666667,2169.3388769542835
8750,8750,8750,4,617.7350056666667,2168.961994559504
9000,9000,9000,0,19313.934896000002,75.48953684740637
9000,9000,9000,1,1423.921346,1023.9329609712867
9000,9000,9000,2,1729.7443443333334,842.8991282881938
9000,9000,9000,3,670.6690063333334,2173.9486784563746
9000,9000,9000,4,675.695333,2157.7772241324624
9250,9250,9250,0,20962.011718666665,75.5130886884498
9250,9250,9250,1,1544.1623126666666,1025.090586019047
9250,9250,9250,2,1874.6963296666665,844.3534160444274
9250,9250,9250,3,731.5973306666666,2163.6304339131198
9250,9250,9250,4,732.9079996666666,2159.761185196396
9500,9500,9500,0,22767.039062666667,75.31721605431963
9500,9500,9500,1,1670.297689,1026.6134062764665
9500,9500,9500,2,2027.5739746666666,845.7151361305597
9500,9500,9500,3,790.5243529999999,2169.1298863755565
9500,9500,9500,4,791.2446693333333,2167.155200482766
9750,9750,9750,0,24531.529297,75.56474476406548
9750,9750,9750,1,1803.3823243333334,1027.9122319141475
9750,9750,9750,2,2199.9746906666664,842.6091253978294
9750,9750,9750,3,853.8129883333332,2171.106290639254
9750,9750,9750,4,854.4673256666666,2169.443692365538
10000,10000,10000,0,26461.314453333336,75.58203518298993
10000,10000,10000,1,1951.5973306666667,1024.8015656573987
10000,10000,10000,2,2365.0686846666667,845.641402707034
10000,10000,10000,3,924.5109859999999,2163.3058236043503
10000,10000,10000,4,931.5396726666668,2146.9831706412583
