M,N,K,KernelVersion,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
10000,10000,32,0,89.64633433333334,590.8573403333334,0.0,71.39165307309479,6.59098160262013
10000,10000,32,1,7.572,581.097005,0.0,845.2192287374538,76.74286912308504
10000,10000,32,2,8.343666666666666,569.4393513333333,0.0,767.0488594143263,68.24809452279175
10000,10000,32,3,4.911666666666666,578.878662,0.0,1303.020020359688,117.85788842891075
10000,10000,32,4,4.939666666666667,579.8420006666666,0.0,1295.6339833996897,117.38484391659355
10000,10000,64,0,173.72200033333334,1091.1357016666668,0.0,73.68093836957718,6.280929874011487
10000,10000,64,1,13.65,1060.8373206666668,0.0,937.7289377289377,77.71701982905984
10000,10000,64,2,15.811666666666667,977.7016806666667,0.0,809.5288289237905,61.83419504585222
10000,10000,64,3,7.730999999999999,1064.8696693333334,0.0,1655.6719699909459,137.7402236881818
10000,10000,64,4,7.820333333333333,1004.141663,0.0,1636.7588764332297,128.4013890712246
10000,10000,128,0,341.94466166666666,2003.7993163333333,0.0,74.86591507299302,5.860010524997375
10000,10000,128,1,26.358333,1974.2229816666668,0.0,971.2298573661695,74.89938690988792
10000,10000,128,2,30.076000333333337,1948.4473063333335,0.0,851.1770087868841,64.78412304623706
10000,10000,128,3,13.460666666666668,1978.9733483333332,0.0,1901.837452330246,147.01896996186417
10000,10000,128,4,13.652000000000001,1997.798990666667,0.0,1875.1831233518894,146.33745902920208
10000,10000,156,0,415.539337,2555.6957193333333,0.0,75.08314429447145,6.1503099508803745
10000,10000,156,1,31.864999666666666,2456.556315,0.0,979.1307179154843,77.09262013800533
10000,10000,156,2,36.70533366666667,2410.915364666667,0.0,850.0127061461303,65.68297094261533
10000,10000,156,3,16.083999333333335,2438.6303709999997,0.0,1939.8160465811175,151.61840786364948
10000,10000,156,4,16.314333666666666,2470.0996906666664,0.0,1912.42870456595,151.4067163964874
